
macaddr,os,accuracy,bool,osfamily,type,vendor,port
E4:02:9B:4A:9A:39,MicrosoftWindows,93,0,Microsoft,specialized,Windows,135_tcp_open_
E4:02:9B:4A:9A:39,MicrosoftWindows,90,0,Microsoft,general purpose,Windows,135_tcp_open_
E4:02:9B:4A:9A:39,MicrosoftWindows,90,0,Microsoft,general purpose,Windows,135_tcp_open_
E4:02:9B:4A:9A:39,MicrosoftWindows,88,0,Microsoft,general purpose,Windows,135_tcp_open_
E4:02:9B:4A:9A:39,MicrosoftWindows,87,0,Microsoft,general purpose,Windows,135_tcp_open_
E4:F8:9C:13:4F:B6,iPXE1.0.0+,100,0,iPXE,specialized,iPXE,445_tcp_open_
E4:F8:9C:13:4F:B6,Tomato1.28,100,0,Linux,WAP,Linux,445_tcp_open_
E4:F8:9C:13:4F:B6,Tomatofirmware,100,0,Linux,WAP,Linux,445_tcp_open_
E4:F8:9C:13:4F:B6,SonyEricsson,100,0,Sony Ericsson,phone,embedded,445_tcp_open_
E4:F8:9C:41:B8:E7,iPXE1.0.0+,100,0,iPXE,specialized,iPXE,5357_tcp_open_
E4:F8:9C:41:B8:E7,Tomato1.28,100,0,Linux,WAP,Linux,5357_tcp_open_
E4:F8:9C:41:B8:E7,Tomatofirmware,100,0,Linux,WAP,Linux,5357_tcp_open_
E4:F8:9C:41:B8:E7,SonyEricsson,100,0,Sony Ericsson,phone,embedded,5357_tcp_open_
F0:7B:CB:88:36:83,Linux3.2,100,1,Linux,general purpose,Linux,80_tcp_open_1_tcp_closed_36647_udp_closed_
F0:7B:CB:88:36:83,Linux3.2,100,1,Linux,general purpose,Linux,80_tcp_open_1_tcp_closed_31506_udp_closed_
F4:5C:89:CA:AC:95,CiscoNexus,97,0,Cisco,switch,NX-OS,4_tcp_closed_
F4:5C:89:CA:AC:95,CiscoWireless,97,0,Cisco,remote management,embedded,4_tcp_closed_
F4:5C:89:CA:AC:95,CiscoNexus,97,0,Cisco,switch,NX-OS,4_tcp_closed_
F4:5C:89:CA:AC:95,CiscoNexus,97,0,Cisco,switch,NX-OS,4_tcp_closed_
F4:5C:89:CA:AC:95,CiscoNexus,97,0,Cisco,switch,NX-OS,4_tcp_closed_
F4:5C:89:CA:AC:95,FreeBSD8.0-RC1-p1,96,0,FreeBSD,general purpose,FreeBSD,4_tcp_closed_
F4:5C:89:CA:AC:95,CiscoAdaptive,90,0,Cisco,firewall,PIX OS,4_tcp_closed_
